Throat_mm,MR,Channels,Width_mm,Height_mm,Wall_mm,Thrust_kN,Tc_K,Wall_Tmax_K,DeltaP_bar
86.181,6.31,385,0.76,2.73,0.55,1167.5645949854331,3168.6250133556396,694.2663157894737,6.543396396067364
172.607,5.16,249,1.25,2.94,0.8,726.269635277873,2737.107995986841,619.72,3.6433229805414524
139.799,5.48,179,0.73,3.72,0.73,1089.0743850245933,2981.1628441412063,740.5380821917809,2.415885424549182
119.799,6.55,238,0.97,3.47,0.94,2733.025453250147,2953.069660487931,676.8084536082474,3.4373481373511043
159.926,6.74,120,1.1,3.56,1.18,5568.884700453129,2794.635868221393,660.7345454545455,1.551627310409919
120.167,5.9,322,1.14,2.98,1.0,1503.7261634656318,3285.316954888546,633.5908771929825,5.12246673541303
136.211,6.96,247,1.1,3.9,0.52,4645.174855482223,2702.3655896056566,673.6545454545455,3.605527768351138
175.486,5.66,153,1.27,2.42,1.03,2328.7387167317866,3144.526102230515,597.944251968504,2.014004385726805
154.866,6.77,206,1.04,3.57,0.82,5327.286869263035,2774.9666791108625,669.5061538461538,2.865324975558327
61.851,6.7,151,0.99,3.01,0.69,810.7014688360518,2823.6644243122582,655.9961616161615,1.9844152518752967
108.713,6.67,201,1.15,2.97,0.98,2453.267338384985,2847.2875752748887,631.9904347826088,2.7797334581042583
121.778,5.8,211,1.24,2.74,0.9,1364.349078128,3242.705098312484,613.1522580645161,2.9519616310211707
73.822,6.71,336,0.99,3.7,0.59,1162.7940980903968,2816.127883904107,682.2161616161616,5.42718538721652
84.954,6.95,275,1.1,2.14,0.99,1796.0792251895105,2703.6934978214585,606.7745454545454,4.14828726939094
98.41,5.88,396,1.14,2.56,1.05,984.7300092999559,3278.9329457664753,617.6308771929824,6.804240401507544
107.135,6.13,243,0.91,3.57,0.69,1529.8812023913179,3275.3263877051945,691.4841758241757,3.530396092922508
118.862,5.9,128,1.17,2.23,0.46,1471.2429172270017,3285.316954888546,601.4921367521367,1.6585237502960395
121.132,6.0,298,0.84,3.24,0.6,1710.965383679318,3300.0,693.5961904761905,4.615422077989085
172.333,6.09,273,0.83,2.37,0.94,3804.44532798128,3288.088105703083,662.8310843373495,4.108560222581854
174.845,6.75,122,1.14,2.51,0.84,6700.9944298922765,2787.867965644036,615.7308771929825,1.5780272352774767
151.26,6.09,384,1.17,3.43,1.05,2930.9110809563904,3288.088105703083,647.0921367521368,6.519865991863939
132.635,6.11,204,1.15,3.03,0.64,2299.0943551838072,3282.2642306862676,634.2704347826087,2.8309622390763862
104.277,5.72,178,0.93,3.51,0.81,897.612846167338,3191.2271969246067,685.4230107526881,2.39985296273159
166.398,5.91,152,1.19,3.3,0.84,2917.453238672852,3288.088105703083,639.853781512605,1.999185485522055
68.817,6.45,322,1.09,2.4,0.61,835.4268461525903,3046.930339512069,617.988990825688,5.12246673541303
108.01,6.97,237,0.98,2.78,0.69,2938.416902431481,2701.331410619076,648.905306122449,3.418854898757388
112.007,6.62,362,1.19,3.52,0.48,2514.032931142228,2889.5626341945963,648.213781512605,6.010015782191553
175.438,5.56,346,0.99,2.16,1.15,1981.9506330309355,3056.214394375717,623.6961616161616,5.6487776258059545
146.27,5.66,332,0.69,3.27,0.54,1617.880113216815,3144.526102230515,736.1440579710145,5.339462317241452
170.925,6.3,306,0.83,2.94,0.42,4553.209583385882,3176.335575687742,684.4910843373494,4.782251071574389
164.224,6.51,232,0.8,2.66,0.74,4983.747409180845,2990.5767722765618,681.08,3.326974976896683
119.685,6.5,280,1.22,3.6,1.0,2626.9443544741866,3000.0,647.9475409836065,4.248236918872658
168.281,6.02,138,0.74,2.31,1.18,3373.850041491679,3299.4080185284815,683.9962162162162,1.7969063497415687
78.8,6.13,127,1.4,3.86,0.52,827.6512886455617,3275.3263877051945,640.9657142857144,1.6449738512298
88.302,6.9,272,1.36,3.52,0.55,1881.9756111126915,2714.683045111454,631.4070588235294,4.088751136537612
70.702,6.59,232,1.17,2.15,1.14,980.3026259319441,2916.302668188231,598.4521367521368,3.326974976896683
154.311,6.16,267,1.2,3.16,1.05,3267.248592825641,3262.892004013159,633.4133333333334,3.9902527587554464
83.513,6.29,157,1.21,2.62,0.65,1077.55177377871,3183.872116095893,611.7914049586777,2.0737634892193935
72.14,6.86,254,1.29,3.02,1.15,1225.088575211097,2728.551884260194,618.791007751938,3.7384750979434753
111.404,5.86,354,1.36,3.49,0.48,1231.6491782282865,3271.448115739806,630.2670588235294,5.828376202934624
150.33,6.95,193,0.93,2.14,0.92,5624.04957373884,2703.6934978214585,633.3630107526882,2.64499335197105
178.033,5.65,328,1.13,2.05,0.77,2360.660053151809,3136.1971499218644,599.4929203539823,5.252266120494517
145.837,5.93,386,1.22,2.7,1.05,2293.639967200979,3292.775028581624,613.7475409836065,6.56695737911517
152.319,6.92,343,0.89,3.01,0.63,5669.341345429591,2709.4250516614106,674.1552808988764,5.581959118292866
136.029,5.81,171,1.39,2.3,0.48,1724.521543272564,3248.1241722823684,582.5079136690647,2.2888921264290927
139.351,6.75,256,0.79,3.86,1.02,4256.5035637380615,2787.867965644036,729.2116455696203,3.7768
145.691,5.38,314,0.78,3.3,0.85,961.8551340837123,2889.5626341945967,710.5282051282051,4.951275340843341
159.466,6.16,351,0.83,2.29,0.96,3489.1899228397124,3262.892004013159,659.7910843373494,5.7607863138508115
123.495,6.25,213,0.73,3.31,1.02,2274.390219940317,3212.132034355964,724.9580821917808,2.986906126093223
139.441,6.25,196,1.21,2.64,0.93,2899.660867479571,3212.132034355964,612.5514049586777,2.6952000000000003
