Throat_mm,MR,Channels,Width_mm,Height_mm,Wall_mm,Thrust_kN,Tc_K,Wall_Tmax_K,DeltaP_bar,Printable
12.996,6.31,229,0.9,2.43,0.62,26.550778777814866,3168.6250133556396,650.1177777777777,3.2723190581172292,True
14.789,6.55,229,0.8,3.11,0.59,41.649990676205604,2953.069660487931,698.1800000000001,3.2723190581172292,True
11.248,6.86,144,0.99,3.49,0.86,29.782820853189662,2728.551884260194,674.2361616161616,1.8824,True
16.929,6.74,218,0.65,2.74,0.5,62.40116333401619,2794.635868221393,730.2738461538461,3.074985141704705,True
14.809,5.9,106,0.71,3.2,0.74,22.83756436117016,3285.316954888546,726.9521126760563,1.3730694359556976,True
15.665,6.96,171,1.01,3.17,0.8,61.43820267531751,2702.3655896056566,658.8758415841584,2.2888921264290927,True
10.165,6.92,120,0.79,3.22,0.78,25.24871106572927,2709.4250516614106,704.8916455696203,1.551627310409919,True
17.759,5.66,196,1.3,2.42,0.7,23.84914578992442,3144.526102230515,595.036923076923,2.6952000000000003,True
16.66,6.77,146,0.74,2.67,0.66,61.65153803310308,2774.9666791108625,697.6762162162162,1.911299769715846,True
11.699,6.7,100,0.62,3.86,0.79,29.00447377587372,2823.6644243122582,784.7445161290323,1.3,True
14.198,6.67,231,0.88,2.48,0.48,41.8442954174325,2847.2875752748887,656.0581818181818,3.3087168315798587,True
14.895,5.8,131,0.77,3.0,0.87,20.411214299999997,3242.705098312484,701.7922077922078,1.6994908253088057,True
12.337,6.71,167,1.07,3.26,0.59,32.475087824371975,2816.127883904107,653.4127102803739,2.2264924905715633,True
12.931,6.95,156,0.81,3.26,0.48,41.61233141040339,2703.6934978214585,701.4108641975308,2.0587515004002404,True
11.597,6.5,230,1.07,3.96,0.57,24.663956142835023,3000.0,680.0127102803739,3.290498163410971,True
14.114,6.13,231,1.27,2.95,0.8,26.551874507851593,3275.3263877051945,618.084251968504,3.3087168315798587,True
14.739,5.9,129,0.81,2.32,0.74,22.62217490069147,3285.316954888546,665.6908641975308,1.6721266825731766,True
14.86,6.0,148,0.69,2.58,0.87,25.749041432081768,3300.0,709.9240579710145,1.9403981671746184,True
10.52,6.51,181,1.13,2.15,0.76,20.45098595643016,2990.5767722765618,603.2929203539823,2.448084762016273,True
17.591,6.09,243,1.26,2.22,0.5,39.640169965755945,3288.088105703083,591.344126984127,3.530396092922508,True
17.725,6.75,233,0.86,2.43,0.87,68.8660716085001,2787.867965644036,658.386511627907,3.345272514189107,True
16.467,6.09,123,1.24,3.1,0.51,34.73628918841977,3288.088105703083,626.8322580645162,1.5913087922306866,True
10.781,6.7,191,0.88,3.21,0.81,24.631201704171247,2823.6644243122582,683.7981818181818,2.6117380140538264,True
15.474,6.11,120,1.3,3.17,0.5,31.292891674350454,3282.2642306862676,623.536923076923,1.551627310409919,True
10.275,6.69,108,0.96,2.54,0.88,22.2203980173823,2831.3749866443604,643.1866666666667,1.397895138643706,True
17.275,5.91,139,1.28,2.26,0.8,31.444436174206604,3288.088105703083,590.88,1.8110286648277376,True
12.07,6.45,228,0.84,2.85,0.55,25.699903642421376,3046.930339512069,678.7761904761905,3.2541796019867695,True
14.161,6.97,102,1.26,2.48,0.69,50.50952995041267,2701.331410619076,601.224126984127,1.3241196029703455,True
14.374,6.62,207,0.89,3.1,0.49,41.40339107805309,2889.5626341945963,677.5752808988764,2.882569100781759,True
17.757,5.56,108,1.14,3.11,0.42,20.30414408654735,3056.214394375717,638.5308771929824,1.397895138643706,True
17.516,6.3,105,0.94,3.54,0.72,47.81634068848598,3176.335575687742,684.7327659574468,1.3607438643406065,True
17.159,6.51,172,0.67,3.91,0.6,54.40849579349801,2990.5767722765618,767.3859701492538,2.3046070818879105,True
14.783,6.5,125,1.08,2.61,0.56,40.07712682826947,3000.0,627.3281481481481,1.618033988749895,True
17.375,6.02,229,0.62,2.52,0.73,35.96708437665614,3299.4080185284815,733.8245161290322,3.2723190581172292,True
10.708,6.62,213,1.1,2.9,0.83,22.977213347096708,2889.5626341945963,635.6545454545454,2.986906126093223,True
12.603,6.13,230,0.74,3.61,0.73,21.171071219248855,3275.3263877051945,733.3962162162163,3.290498163410971,True
13.109,6.9,134,0.68,2.4,0.75,41.47744894583562,2714.683045111454,706.4941176470588,1.7409297159791122,True
12.171,6.59,213,0.85,2.01,0.79,29.05021108859132,2916.302668188231,644.6152941176471,2.986906126093223,True
16.63,6.16,158,0.97,3.05,0.55,37.946603259184386,3262.892004013159,660.8484536082474,2.0888233633730344,True
12.854,6.29,137,1.11,2.23,0.46,25.52739905073373,3183.872116095893,608.8841441441441,1.782835110214871,True
12.247,6.86,132,0.6,3.4,0.74,35.30812451844175,2728.551884260194,775.8666666666667,1.7132516309488317,True
14.342,5.86,220,1.17,2.33,0.46,20.41290848377378,3271.448115739806,605.2921367521368,3.1105018674576734,True
16.418,6.95,199,0.96,2.94,0.52,67.08081460739346,2703.6934978214585,658.3866666666668,2.745792367962809,True
10.596,6.73,241,0.87,3.13,0.57,24.28265828317618,2801.6064404029044,682.8480459770115,3.493060881438933,True
17.895,5.65,144,1.27,2.37,0.64,23.850409289102835,3136.1971499218644,596.0442519685039,1.8824,True
16.178,5.93,147,1.23,2.29,0.85,28.22535845312133,3292.775028581624,597.1013008130082,1.9258242247906998,True
16.524,6.92,183,1.33,2.77,0.84,66.71981280893229,2709.4250516614106,605.5607518796992,2.4804624914398152,True
15.655,5.81,212,0.67,2.96,0.65,22.84082346410672,3248.1241722823684,731.2859701492537,2.969413274443952,True
15.832,6.75,216,0.93,2.46,0.5,54.94198987210993,2787.867965644036,645.5230107526882,3.039630965317599,True
10.927,6.53,110,0.74,3.84,0.8,22.40008403254175,2971.7675060044453,742.1362162162162,1.4229517863897334,True
16.905,6.16,107,1.29,3.77,0.73,39.211978733748964,3262.892004013159,647.291007751938,1.385453285046704,True
14.986,6.25,212,1.04,2.33,0.64,33.4917381261107,3212.132034355964,622.3861538461539,2.969413274443952,True
15.837,6.25,173,1.0,2.63,0.71,37.403484571759904,3212.132034355964,639.94,2.320367787014481,True
15.1,6.13,171,1.2,2.86,0.65,30.391270440502613,3275.3263877051945,622.0133333333333,2.2888921264290927,True
17.098,6.22,205,0.78,3.38,0.41,42.42807232829871,3231.153972832737,713.5682051282051,2.848122654377322,True
13.778,6.1,217,0.76,2.17,0.87,24.563290595770574,3285.316954888546,672.9863157894737,3.0572876881571225,True
14.49,6.7,141,0.99,2.38,0.77,44.49428984087816,2823.6644243122582,632.0561616161616,1.8394257874178772,True
16.168,6.23,189,0.97,2.17,0.8,38.285760395806726,3225.0333208891375,627.4084536082474,2.5786563352319694,True
13.42,6.75,236,1.07,3.64,0.85,39.47642844295472,2787.867965644036,667.8527102803738,3.4004006343951865,True
12.515,6.96,175,0.87,3.87,0.54,39.21384354217909,2702.3655896056566,710.9680459770115,2.3520259177452134,True
14.069,6.59,193,0.68,3.22,0.46,38.81711255640488,2916.302668188231,737.6541176470588,2.64499335197105,True
